Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,drafted,year,drafted_team,drafted_pick,drafted_year,cfb_link,cav_url,cfb_school,cfb_Conf,cfb_G,cfb_Completions,cfb_Attempts,cfb_CompPct,cfb_PassingYds,cfb_YdsPerAtt,cfb_AdjPassPerAtt,cfb_Tds,cfb_Int,cfb_rating,nfl_cav
Nate Davis,QB,Ball State,College Stats,6-1,226,4.95,26.5,,99,,,"San Francisco 49ers,5th,171st pick,2009",2009,San Francisco 49ers,171,2009,https://www.sports-reference.com/cfb/players/nate-davis-1.html,/players/D/DaviNa01.htm,Ball State,NA,39,678,1124,60.3,9233,8.2,8.7,74,22,147.1,16
Josh Freeman,QB,Kansas State,College Stats,6-6,248,4.90,33.5,,119,7.11,4.43,"Tampa Bay Buccaneers,1st,17th pick,2009",2009,Tampa Bay Buccaneers,17,2009,https://www.sports-reference.com/cfb/players/josh-freeman-1.html,/players/F/FreeJo00.htm,Kansas State,NA,35,680,1151,59.1,8078,7.0,6.5,44,34,124.7,37
Cullen Harper,QB,Clemson,College Stats,6-3,225,4.86,30.0,19,105,7.43,4.49,",,,",2009,,,,https://www.sports-reference.com/cfb/players/cullen-harper-1.html,NA,Clemson,NA,31,518,815,63.6,5762,7.1,7.0,42,20,135.0,NA
Graham Harrell,QB,Texas Tech,College Stats,6-2,223,4.95,29.5,,98,7.45,4.56,",,,",2009,,,,https://www.sports-reference.com/cfb/players/graham-harrell-1.html,/players/H/HarrGr00.htm,Texas Tech,NA,45,1403,2011,69.8,15793,7.9,8.4,134,34,154.3,0
Chase Holbrook,QB,New Mexico State,College Stats,6-4,242,5.12,27.0,,108,7.93,4.65,",,,",2009,,,,https://www.sports-reference.com/cfb/players/chase-holbrook-1.html,NA,New Mexico State,NA,36,1086,1566,69.3,11846,7.6,7.5,85,41,145.6,NA
Brian Hoyer,QB,Michigan State,College Stats,6-2,215,5.02,32.0,,109,7.10,4.42,",,,",2009,,,,https://www.sports-reference.com/cfb/players/brian-hoyer-1.html,/players/H/HoyeBr00.htm,Michigan State,NA,39,500,896,55.8,6159,6.9,6.5,35,23,121.3,22
Stephen McGee,QB,Texas A&M,College Stats,6-3,225,4.61,33.0,,112,7.34,4.49,"Dallas Cowboys,4th,101st pick,2009",2009,Dallas Cowboys,101,2009,https://www.sports-reference.com/cfb/players/stephen-mcgee-1.html,/players/M/McGeSt00.htm,Texas A&M,NA,40,485,815,59.5,5475,6.7,6.7,28,13,124.1,2
Curtis Painter,QB,Purdue,College Stats,6-3,225,4.87,29.0,,102,7.00,4.48,"Indianapolis Colts,6th,201st pick,2009",2009,Indianapolis Colts,201,2009,https://www.sports-reference.com/cfb/players/curtis-painter-1.html,/players/P/PainCu00.htm,Purdue,NA,46,987,1648,59.9,11163,6.8,6.3,67,46,124.6,2
Mike Reilly,QB,Central Washington,,6-3,214,4.74,30.5,,109,6.76,4.11,",,,",2009,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark Sanchez,QB,USC,College Stats,6-2,227,4.93,32.5,,116,7.06,4.21,"New York Jets,1st,5th pick,2009",2009,New York Jets,5,2009,https://www.sports-reference.com/cfb/players/mark-sanchez-1.html,/players/S/SancMa00.htm,USC,NA,27,313,487,64.3,3965,8.1,8.3,41,16,153.9,33
Matthew Stafford,QB,Georgia,College Stats,6-2,225,4.81,30.5,,107,7.06,4.47,"Detroit Lions,1st,1st pick,2009",2009,Detroit Lions,1,2009,https://www.sports-reference.com/cfb/players/matthew-stafford-1.html,/players/S/StafMa00.htm,Georgia,NA,39,564,987,57.1,7731,7.8,7.4,51,33,133.3,103
Pat White,QB,West Virginia,College Stats,6-0,197,4.55,35.0,,117,7.06,4.42,"Miami Dolphins,2nd,44th pick,2009",2009,Miami Dolphins,44,2009,https://www.sports-reference.com/cfb/players/pat-white-1.html,/players/W/WhitPa01.htm,West Virginia,NA,49,507,783,64.8,6049,7.7,7.8,56,23,147.4,1
Drew Willy,QB,Buffalo,College Stats,6-3,215,4.90,30.5,,109,7.18,4.45,",,,",2009,,,,https://www.sports-reference.com/cfb/players/drew-willy-1.html,/players/W/WillDr00.htm,Buffalo,NA,44,849,1322,64.2,8748,6.6,6.4,52,30,128.2,NA
John Parker Wilson,QB,Alabama,College Stats,6-1,219,4.75,29.5,,105,7.53,4.59,",,,",2009,,,,https://www.sports-reference.com/cfb/players/john-parker-wilson-1.html,/players/W/WilsJo01.htm,Alabama,NA,45,665,1175,56.6,7924,6.7,6.4,47,30,121.3,0
Sam Bradford,QB,Oklahoma,College Stats,6-4,236,4.79,,,,,,"St. Louis Rams,1st,1st pick,2010",2010,St. Louis Rams,1,2010,https://www.sports-reference.com/cfb/players/sam-bradford-1.html,/players/B/BradSa00.htm,Oklahoma,NA,31,604,893,67.6,8403,9.4,10.6,88,16,175.6,44
Levi Brown,QB,Troy,College Stats,6-3,229,4.93,31.5,20,106,7.07,4.43,"Buffalo Bills,7th,209th pick,2010",2010,Buffalo Bills,209,2010,https://www.sports-reference.com/cfb/players/levi-brown-1.html,/players/B/BrowLe20.htm,Troy,NA,23,522,830,62.9,6284,7.6,7.8,38,12,138.7,34
Levi Brown,QB,Troy,College Stats,6-3,229,4.93,31.5,20,106,7.07,4.43,"Buffalo Bills,7th,209th pick,2010",2010,Buffalo Bills,209,2010,https://www.sports-reference.com/cfb/players/levi-brown-1.html,/players/B/BrowLe00.htm,Troy,NA,23,522,830,62.9,6284,7.6,7.8,38,12,138.7,0
Jarrett Brown,QB,West Virginia,College Stats,6-3,224,4.50,34.5,,114,7.24,4.39,",,,",2010,,,,https://www.sports-reference.com/cfb/players/jarrett-brown-1.html,/players/B/BrowJa01.htm,West Virginia,NA,38,268,421,63.7,2983,7.1,6.5,16,13,129.5,NA
Sean Canfield,QB,Oregon State,College Stats,6-4,223,4.93,29.5,,100,7.26,4.39,"New Orleans Saints,7th,239th pick,2010",2010,New Orleans Saints,239,2010,https://www.sports-reference.com/cfb/players/sean-canfield-1.html,/players/C/CanfSe00.htm,Oregon State,NA,38,552,861,64.1,5970,6.9,6.5,38,26,130.9,NA
Daryll Clark,QB,Penn State,College Stats,6-2,235,4.72,,21,,,,",,,",2010,,,,https://www.sports-reference.com/cfb/players/daryll-clark-1.html,NA,Penn State,NA,41,444,738,60.2,5742,7.8,8.0,43,16,140.4,NA
Jimmy Clausen,QB,Notre Dame,College Stats,6-3,222,4.76,,,,,,"Carolina Panthers,2nd,48th pick,2010",2010,Carolina Panthers,48,2010,https://www.sports-reference.com/cfb/players/jimmy-clausen-1.html,/players/C/ClauJi00.htm,Notre Dame,NA,35,695,1110,62.6,8148,7.3,7.3,60,27,137.2,3
Max Hall,QB,BYU,College Stats,6-1,209,4.84,32.0,,102,7.07,4.35,",,,",2010,,,,https://www.sports-reference.com/cfb/players/max-hall-1.html,/players/H/HallMa00.htm,Brigham Young,NA,39,903,1382,65.3,11365,8.2,8.3,94,40,151.1,1
Tim Hiller,QB,West. Michigan,College Stats,6-4,229,4.97,32.5,18,118,7.10,4.54,",,,",2010,,,,https://www.sports-reference.com/cfb/players/tim-hiller-1.html,NA,Western Michigan,NA,44,1013,1608,63.0,11329,7.0,7.1,99,41,137.4,NA
Mike Kafka,QB,Northwestern,College Stats,6-3,225,4.93,32.0,,110,6.96,4.37,"Philadelphia Eagles,4th,122nd pick,2010",2010,Philadelphia Eagles,122,2010,https://www.sports-reference.com/cfb/players/mike-kafka-1.html,/players/K/KafkMi00.htm,Northwestern,NA,30,408,637,64.1,4265,6.7,5.9,19,20,123.9,0
Dan LeFevour,QB,Central Michigan,College Stats,6-3,230,4.60,29.5,,110,6.93,4.22,"Chicago Bears,6th,181st pick,2010",2010,Chicago Bears,181,2010,https://www.sports-reference.com/cfb/players/dan-lefevour-1.html,/players/L/LeFeDa00.htm,Central Michigan,NA,53,1171,1763,66.4,12905,7.3,7.6,102,36,142.9,NA
Thaddeus Lewis,QB,Duke,College Stats,6-0,215,4.84,28.0,,107,,,",,,",2010,,,,https://www.sports-reference.com/cfb/players/thaddeus-lewis-2.html,/players/L/LewiTh01.htm,Duke,NA,47,877,1510,58.1,10065,6.7,6.4,67,40,123.4,3
Colt McCoy,QB,Texas,College Stats,6-1,216,4.79,,,114,,,"Cleveland Browns,3rd,85th pick,2010",2010,Cleveland Browns,85,2010,https://www.sports-reference.com/cfb/players/colt-mccoy-1.html,/players/M/McCoCo00.htm,Texas,NA,53,1157,1645,70.3,13253,8.1,8.2,112,45,155.0,13
Tony Pike,QB,Cincinnati,College Stats,6-6,223,4.90,28.5,,108,7.06,4.53,"Carolina Panthers,6th,204th pick,2010",2010,Carolina Panthers,204,2010,https://www.sports-reference.com/cfb/players/tony-pike-1.html,/players/P/PikeTo00.htm,Cincinnati,NA,27,421,682,61.7,5018,7.4,7.5,49,20,141.4,0
Zac Robinson,QB,Oklahoma State,College Stats,6-2,214,4.68,35.0,,110,7.24,4.40,"New England Patriots,7th,250th pick,2010",2010,New England Patriots,250,2010,https://www.sports-reference.com/cfb/players/zac-robinson-1.html,/players/R/RobiZa00.htm,Oklahoma State,NA,45,610,999,61.1,8317,8.3,8.3,66,31,146.6,0
John Skelton,QB,Fordham,,6-5,243,4.85,33.5,,108,7.17,4.33,"Arizona Cardinals,5th,155th pick,2010",2010,Arizona Cardinals,155,2010,NA,/players/S/SkelJo00.htm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Riley Skinner,QB,Wake Forest,College Stats,6-0,214,5.05,30.0,,101,7.04,4.29,",,,",2010,,,,https://www.sports-reference.com/cfb/players/riley-skinner-1.html,NA,Wake Forest,NA,50,903,1349,66.9,9762,7.2,6.9,60,37,136.9,NA
Jevan Snead,QB,Mississippi,College Stats,6-3,219,5.04,33.0,,106,7.08,4.33,",,,",2010,,,,https://www.sports-reference.com/cfb/players/jevan-snead-1.html,NA,Ole Miss,NA,34,375,678,55.3,5394,8.0,7.1,46,33,134.8,NA
Tim Tebow,QB,Florida,College Stats,6-3,236,4.71,38.5,,115,6.66,4.17,"Denver Broncos,1st,25th pick,2010",2010,Denver Broncos,25,2010,https://www.sports-reference.com/cfb/players/tim-tebow-1.html,/players/T/TeboTi00.htm,Florida,NA,55,661,995,66.4,9285,9.3,10.4,88,16,170.8,12
Jeff Van Camp,QB,Florida Atlantic,College Stats,6-5,218,4.83,31.0,,114,6.87,4.16,",,,",2011,,,,https://www.sports-reference.com/cfb/players/jeff-van-camp-1.html,NA,Florida Atlantic,NA,29,311,544,57.2,3905,7.2,6.9,29,16,129.2,NA
Ryan Colburn,QB,Fresno State,College Stats,6-3,233,5.12,,,,6.84,4.28,",,,",2011,,,,https://www.sports-reference.com/cfb/players/ryan-colburn-1.html,NA,Fresno State,NA,30,412,663,62.1,5334,8.0,8.0,42,20,144.6,NA
Andy Dalton,QB,TCU,College Stats,6-2,215,4.83,29.5,,106,6.93,4.27,"Cincinnati Bengals,2nd,35th pick,2011",2011,Cincinnati Bengals,35,2011,https://www.sports-reference.com/cfb/players/andy-dalton-1.html,/players/D/DaltAn00.htm,Texas Christian,NA,50,812,1317,61.7,10314,7.8,7.9,71,30,140.7,84
Pat Devlin,QB,Pittsburgh,,6-3,225,4.81,33.0,,116,7.08,4.32,",,,",2011,,,,NA,/players/D/DevlPa00.htm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Nathan Enderle,QB,Idaho,College Stats,6-4,240,5.12,25.5,,102,7.13,4.46,"Chicago Bears,5th,160th pick,2011",2011,Chicago Bears,160,2011,https://www.sports-reference.com/cfb/players/nathan-enderle-1.html,/players/E/EndeNa00.htm,Idaho,NA,46,779,1427,54.6,10084,7.1,6.2,74,60,122.7,NA
Blaine Gabbert,QB,Missouri,College Stats,6-4,234,4.61,33.5,,120,6.84,4.26,"Jacksonville Jaguars,1st,10th pick,2011",2011,Jacksonville Jaguars,10,2011,https://www.sports-reference.com/cfb/players/blaine-gabbert-1.html,/players/G/GabbBl00.htm,Missouri,NA,31,568,933,60.9,6822,7.3,7.3,40,18,132.6,16
Jerrod Johnson,QB,Texas A&M,College Stats,6-5,251,4.75,29.0,,119,7.28,4.31,",,,",2011,,,,https://www.sports-reference.com/cfb/players/jerrod-johnson-1.html,/players/J/JohnJe03.htm,Texas A&M,NA,37,650,1109,58.6,8011,7.2,7.3,67,27,134.4,NA
Colin Kaepernick,QB,Nevada,College Stats,6-5,233,4.53,32.5,,115,6.85,4.18,"San Francisco 49ers,2nd,36th pick,2011",2011,San Francisco 49ers,36,2011,https://www.sports-reference.com/cfb/players/colin-kaepernick-1.html,/players/K/KaepCo00.htm,Nevada,NA,51,740,1271,58.2,10098,7.9,8.4,82,24,142.5,45
Jake Locker,QB,Washington,College Stats,6-2,231,4.51,35.0,,120,6.77,4.12,"Tennessee Titans,1st,8th pick,2011",2011,Tennessee Titans,8,2011,https://www.sports-reference.com/cfb/players/jake-locker-1.html,/players/L/LockJa00.htm,Washington,NA,40,619,1147,54.0,7639,6.7,6.2,53,35,119.1,15
Ryan Mallett,QB,Arkansas,College Stats,6-7,253,5.37,24.0,,103,,,"New England Patriots,3rd,74th pick,2011",2011,New England Patriots,74,2011,https://www.sports-reference.com/cfb/players/ryan-mallett-1.html,/players/M/MallRy00.htm,Arkansas,NA,37,491,814,60.3,7493,9.2,9.7,62,19,158.1,4
Greg McElroy,QB,Alabama,College Stats,6-2,220,4.84,33.0,,107,7.11,4.45,"New York Jets,7th,208th pick,2011",2011,New York Jets,208,2011,https://www.sports-reference.com/cfb/players/greg-mcelroy-1.html,/players/M/McElGr00.htm,Alabama,NA,35,436,658,66.3,5691,8.6,9.2,39,10,155.4,1
Cam Newton,QB,Auburn,College Stats,6-5,248,4.56,35.0,,126,6.92,4.18,"Carolina Panthers,1st,1st pick,2011",2011,Carolina Panthers,1,2011,https://www.sports-reference.com/cfb/players/cam-newton-1.html,/players/N/NewtCa00.htm,Auburn,NA,20,185,280,66.1,2854,10.2,11.2,30,7,182.0,114
Christian Ponder,QB,Florida State,College Stats,6-2,229,4.63,34.0,,116,6.85,4.09,"Minnesota Vikings,1st,12th pick,2011",2011,Minnesota Vikings,12,2011,https://www.sports-reference.com/cfb/players/christian-ponder-1.html,/players/P/PondCh00.htm,Florida State,NA,35,596,965,61.8,6872,7.1,6.7,49,30,132.1,23
Josh Portis,QB,California (PA),,6-3,211,4.59,40.0,,126,6.84,4.12,",,,",2011,,,,NA,/players/P/PortJo01.htm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ricky Stanzi,QB,Iowa,College Stats,6-4,223,4.87,32.5,,110,6.95,4.43,"Kansas City Chiefs,5th,135th pick,2011",2011,Kansas City Chiefs,135,2011,https://www.sports-reference.com/cfb/players/ricky-stanzi-1.html,/players/S/StanRi00.htm,Iowa,NA,39,542,907,59.8,7377,8.1,7.8,56,31,141.6,0
Tyrod Taylor,QB,Virginia Tech,College Stats,6-1,217,4.47,37.5,,126,6.78,4.09,"Baltimore Ravens,6th,180th pick,2011",2011,Baltimore Ravens,180,2011,https://www.sports-reference.com/cfb/players/tyrod-taylor-1.html,/players/T/TaylTy00.htm,Virginia Tech,NA,50,495,865,57.2,7017,8.1,8.1,44,20,137.5,41
Scott Tolzien,QB,Wisconsin,College Stats,6-2,212,4.92,29.5,,116,6.84,4.12,",,,",2011,,,,https://www.sports-reference.com/cfb/players/scott-tolzien-1.html,/players/T/TolzSc00.htm,Wisconsin,NA,29,410,602,68.1,5271,8.8,8.5,32,18,153.2,3
T.J. Yates,QB,North Carolina,College Stats,6-3,219,5.06,29.5,,104,6.96,4.12,"Houston Texans,5th,152nd pick,2011",2011,Houston Texans,152,2011,https://www.sports-reference.com/cfb/players/tj-yates-1.html,/players/Y/YateT.00.htm,North Carolina,NA,45,795,1277,62.3,9377,7.3,6.6,58,46,131.7,6
B.J. Coleman,QB,Tenn-Chattanooga,,6-3,233,4.94,,,109,7.07,4.38,"Green Bay Packers,7th,243rd pick,2012",2012,Green Bay Packers,243,2012,NA,/players/C/ColeB.00.htm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Aaron Corp,QB,Richmond,,6-3,215,4.61,31.5,,106,7.03,4.30,",,,",2012,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kirk Cousins,QB,Michigan State,College Stats,6-3,214,4.84,28.5,,109,7.05,4.50,"Washington Redskins,4th,102nd pick,2012",2012,Washington Redskins,102,2012,https://www.sports-reference.com/cfb/players/kirk-cousins-1.html,/players/C/CousKi00.htm,Michigan State,NA,45,723,1128,64.1,9131,8.1,8.1,66,30,146.1,73
Austin Davis,QB,Southern Miss,College Stats,6-2,219,4.69,31.0,,109,6.73,4.11,",,,",2012,,,,https://www.sports-reference.com/cfb/players/austin-davis-1.html,/players/D/DaviAu00.htm,Southern Mississippi,NA,46,933,1527,61.1,10892,7.1,7.4,83,27,135.4,6
Nick Foles,QB,Arizona,College Stats,6-5,243,5.14,30.5,,112,,,"Philadelphia Eagles,3rd,88th pick,2012",2012,Philadelphia Eagles,88,2012,https://www.sports-reference.com/cfb/players/nick-foles-1.html,/players/F/FoleNi00.htm,Arizona,NA,36,933,1396,66.8,10011,7.2,7.1,67,33,138.2,31
Robert Griffin,QB,Baylor,College Stats,6-2,223,4.33,39.0,,120,,,"Washington Redskins,1st,2nd pick,2012",2012,Washington Redskins,2,2012,https://www.sports-reference.com/cfb/players/robert-griffin-iii-1.html,/players/G/GrifRo01.htm,Baylor,NA,41,800,1192,67.1,10366,8.7,9.4,78,17,158.9,36
Chandler Harnish,QB,Northern Illinois,College Stats,6-2,219,4.68,32.5,,112,6.78,4.15,"Indianapolis Colts,7th,253rd pick,2012",2012,Indianapolis Colts,253,2012,https://www.sports-reference.com/cfb/players/chandler-harnish-1.html,/players/H/HarnCh00.htm,Northern Illinois,NA,47,687,1110,61.9,8944,8.1,8.2,68,26,145.1,0
Jacory Harris,QB,Miami (FL),College Stats,6-3,203,4.65,37.0,,113,7.10,4.40,",,,",2012,,,,https://www.sports-reference.com/cfb/players/jacory-harris-1.html,NA,Miami (FL),NA,47,703,1170,60.1,8826,7.5,6.9,70,48,135.0,NA
Jordan Jefferson,QB,LSU,College Stats,6-4,223,4.58,36.5,14,116,6.81,4.06,",,,",2012,,,,https://www.sports-reference.com/cfb/players/jordan-jefferson-1.html,NA,LSU,NA,42,397,678,58.6,4733,7.0,6.7,34,20,127.8,NA
Case Keenum,QB,Houston,College Stats,6-1,208,4.72,32.5,,103,,,",,,",2012,,,,https://www.sports-reference.com/cfb/players/case-keenum-1.html,/players/K/KeenCa00.htm,Houston,NA,57,1546,2229,69.4,19217,8.6,9.1,155,46,160.6,35
Ryan Lindley,QB,San Diego State,College Stats,6-4,229,4.86,29.5,,108,7.52,4.45,"Arizona Cardinals,6th,185th pick,2012",2012,Arizona Cardinals,185,2012,https://www.sports-reference.com/cfb/players/ryan-lindley-1.html,/players/L/LindRy00.htm,San Diego State,NA,49,961,1732,55.5,12690,7.3,7.1,90,47,128.8,-4
Andrew Luck,QB,Stanford,College Stats,6-4,234,4.59,36.0,,124,6.80,4.28,"Indianapolis Colts,1st,1st pick,2012",2012,Indianapolis Colts,1,2012,https://www.sports-reference.com/cfb/players/andrew-luck-1.html,/players/L/LuckAn00.htm,Stanford,NA,38,713,1064,67.0,9430,8.9,9.5,82,22,162.8,73
Kellen Moore,QB,Boise State,College Stats,6-0,197,4.82,27.0,,99,7.41,4.56,",,,",2012,,,,https://www.sports-reference.com/cfb/players/kellen-moore-1.html,/players/M/MoorKe02.htm,Boise State,NA,53,1157,1658,69.8,14667,8.8,9.8,142,28,169.0,2
Brock Osweiler,QB,Arizona State,College Stats,6-7,242,4.83,,,,,,"Denver Broncos,2nd,57th pick,2012",2012,Denver Broncos,57,2012,https://www.sports-reference.com/cfb/players/brock-osweiler-1.html,/players/O/OsweBr00.htm,Arizona State,NA,25,412,680,60.6,5082,7.5,7.5,33,15,135.0,14
Ryan Tannehill,QB,Texas A&M,College Stats,6-4,221,4.65,,,,,,"Miami Dolphins,1st,8th pick,2012",2012,Miami Dolphins,8,2012,https://www.sports-reference.com/cfb/players/ryan-tannehill-1.html,/players/T/TannRy00.htm,Texas A&M,NA,50,484,774,62.5,5450,7.0,6.9,42,21,134.2,76
Darron Thomas,QB,Oregon,College Stats,6-3,220,4.77,36.0,14,121,7.17,4.28,",,,",2012,,,,https://www.sports-reference.com/cfb/players/darron-thomas-1.html,NA,Oregon,NA,31,449,733,61.3,5910,8.1,8.8,66,17,154.1,NA
Brandon Weeden,QB,Oklahoma State,College Stats,6-3,221,4.89,,,,,,"Cleveland Browns,1st,22nd pick,2012",2012,Cleveland Browns,22,2012,https://www.sports-reference.com/cfb/players/brandon-weeden-1.html,/players/W/WeedBr00.htm,Oklahoma State,NA,30,767,1103,69.5,9260,8.4,8.7,75,27,157.6,13
Russell Wilson,QB,Wisconsin,College Stats,5-11,204,4.53,34.0,,118,6.97,4.09,"Seattle Seahawks,3rd,75th pick,2012",2012,Seattle Seahawks,75,2012,https://www.sports-reference.com/cfb/players/russell-wilson-1.html,/players/W/WilsRu00.htm,Wisconsin,NA,50,225,309,72.8,3175,10.3,11.8,33,4,191.8,121
Patrick Witt,QB,Yale,,6-3,225,5.06,31.5,,101,7.14,4.37,",,,",2012,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Barkley,QB,USC,College Stats,6-2,227,4.91,,,,,,"Philadelphia Eagles,4th,98th pick,2013",2013,Philadelphia Eagles,98,2013,https://www.sports-reference.com/cfb/players/matt-barkley-1.html,/players/B/BarkMa00.htm,USC,NA,47,1001,1562,64.1,12327,7.9,8.0,116,48,148.7,5
Tyler Bray,QB,Tennessee,College Stats,6-6,232,5.05,,,100,7.20,4.51,",,,",2013,,,,https://www.sports-reference.com/cfb/players/tyler-bray-1.html,/players/B/BrayTy00.htm,Tennessee,NA,28,540,922,58.6,7444,8.1,8.2,69,28,145.0,0
Colby Cameron,QB,Louisiana Tech,College Stats,6-2,212,4.78,30.5,,112,6.98,4.28,",,,",2013,,,,https://www.sports-reference.com/cfb/players/colby-cameron-1.html,/players/C/CameCo00.htm,Louisiana Tech,NA,34,545,854,63.8,6417,7.5,7.9,45,13,141.3,NA
Zac Dysert,QB,Miami (OH),College Stats,6-3,231,4.81,,,,,,"Denver Broncos,7th,234th pick,2013",2013,Denver Broncos,234,2013,https://www.sports-reference.com/cfb/players/zac-dysert-1.html,/players/D/DyseZa00.htm,Miami (OH),NA,46,1066,1672,63.8,12013,7.2,6.7,73,51,132.4,NA
Mike Glennon,QB,North Carolina State,College Stats,6-7,225,4.94,26.5,,102,7.49,4.52,"Tampa Bay Buccaneers,3rd,73rd pick,2013",2013,Tampa Bay Buccaneers,73,2013,https://www.sports-reference.com/cfb/players/mike-glennon-1.html,/players/G/GlenMi00.htm,North Carolina State,NA,36,646,1069,60.4,7411,6.9,6.8,63,31,132.3,13
MarQueis Gray,QB,Minnesota,College Stats,6-3,240,4.65,30.0,15,111,7.25,4.30,",,,",2013,,,,https://www.sports-reference.com/cfb/players/marqueis-gray-1.html,/players/G/GrayMa00.htm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Landry Jones,QB,Oklahoma,College Stats,6-4,225,5.11,31.0,,115,7.12,4.30,"Pittsburgh Steelers,4th,115th pick,2013",2013,Pittsburgh Steelers,115,2013,https://www.sports-reference.com/cfb/players/landry-jones-1.html,/players/J/JoneLa02.htm,Oklahoma,NA,53,1388,2183,63.6,16646,7.6,7.7,123,52,141.5,4
Collin Klein,QB,Kansas State,College Stats,6-5,226,4.78,29.0,,111,7.17,4.40,",,,",2013,,,,https://www.sports-reference.com/cfb/players/collin-klein-1.html,/players/K/KleiCo00.htm,Kansas State,NA,48,370,604,61.3,4724,7.8,7.7,30,15,138.4,NA
E.J. Manuel,QB,Florida State,College Stats,6-5,237,4.65,34.0,,118,7.08,4.21,"Buffalo Bills,1st,16th pick,2013",2013,Buffalo Bills,16,2013,https://www.sports-reference.com/cfb/players/ej-manuel-1.html,/players/M/ManuEJ00.htm,Florida State,NA,43,600,897,66.9,7741,8.6,8.3,47,28,150.4,10
Ryan Nassib,QB,Syracuse,College Stats,6-2,227,5.06,28.5,,105,7.34,4.53,"New York Giants,4th,110th pick,2013",2013,New York Giants,110,2013,https://www.sports-reference.com/cfb/players/ryan-nassib-1.html,/players/N/NassRy00.htm,Syracuse,NA,47,791,1312,60.3,9190,7.0,7.1,70,28,132.5,0
Sean Renfree,QB,Duke,College Stats,6-3,219,4.76,,,,,,"Atlanta Falcons,7th,249th pick,2013",2013,Atlanta Falcons,249,2013,https://www.sports-reference.com/cfb/players/sean-renfree-1.html,/players/R/RenfSe00.htm,Duke,NA,42,898,1389,64.7,9465,6.8,6.3,51,40,128.2,0
Matt Scott,QB,Arizona,College Stats,6-2,213,4.69,31.0,,118,6.69,3.99,",,,",2013,,,,https://www.sports-reference.com/cfb/players/matt-scott-1.html,/players/S/ScotMa01.htm,Arizona,NA,34,415,675,61.5,4921,7.3,7.0,33,19,133.2,NA
Geno Smith,QB,West Virginia,College Stats,6-2,218,4.58,33.5,,124,,,"New York Jets,2nd,39th pick,2013",2013,New York Jets,39,2013,https://www.sports-reference.com/cfb/players/geno-smith-1.html,/players/S/SmitGe00.htm,West Virginia,NA,44,988,1465,67.4,11662,8.0,8.7,98,21,153.5,15
Brad Sorensen,QB,Southern Utah,,6-4,229,4.97,29.0,,112,7.17,4.55,"San Diego Chargers,7th,221st pick,2013",2013,San Diego Chargers,221,2013,NA,/players/S/SoreBr00.htm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
James Vandenberg,QB,Iowa,College Stats,6-3,226,4.92,32.0,,116,6.95,4.52,",,,",2013,,,,https://www.sports-reference.com/cfb/players/james-vandenberg-1.html,NA,Iowa,NA,32,507,888,57.1,5786,6.5,6.3,35,20,120.3,NA
Tyler Wilson,QB,Arkansas,College Stats,6-2,215,4.95,28.5,,112,7.22,4.39,"Oakland Raiders,4th,112th pick,2013",2013,Oakland Raiders,112,2013,https://www.sports-reference.com/cfb/players/tyler-wilson-1.html,/players/W/WilsTy00.htm,Arkansas,NA,37,593,948,62.6,7765,8.2,8.1,52,26,144.0,NA
Blake Bortles,QB,Central Florida,College Stats,6-5,232,4.93,32.5,,115,7.08,4.21,"Jacksonville Jaguars,1st,3rd pick,2014",2014,Jacksonville Jaguars,3,2014,https://www.sports-reference.com/cfb/players/blake-bortles-1.html,/players/B/BortBl00.htm,UCF,NA,37,585,891,65.7,7598,8.5,8.8,56,19,153.8,44
Tajh Boyd,QB,Clemson,College Stats,6-1,222,4.84,30.5,,106,7.33,4.23,"New York Jets,6th,213th pick,2014",2014,New York Jets,213,2014,https://www.sports-reference.com/cfb/players/tajh-boyd-1.html,/players/B/BoydTa00.htm,Clemson,NA,47,901,1402,64.3,11904,8.5,8.8,107,39,155.2,NA
Teddy Bridgewater,QB,Louisville,College Stats,6-2,214,,30.0,,113,7.17,4.20,"Minnesota Vikings,1st,32nd pick,2014",2014,Minnesota Vikings,32,2014,https://www.sports-reference.com/cfb/players/teddy-bridgewater-1.html,/players/B/BridTe00.htm,Louisville,NA,39,781,1142,68.4,9817,8.6,8.9,72,24,157.2,37
