Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,drafted,year,drafted_team,drafted_pick,drafted_year,cfb_link,cav_url,cfb_school,cfb_Conf,cfb_G,cfb_Completions,cfb_Attempts,cfb_CompPct,cfb_PassingYds,cfb_YdsPerAtt,cfb_AdjPassPerAtt,cfb_Tds,cfb_Int,cfb_rating,nfl_cav
Brad Banks,QB,Iowa,College Stats,5-11,201,4.67,33.5,,112,,,",,,",2003,,,,https://www.sports-reference.com/cfb/players/brad-banks-1.html,NA,Iowa,NA,23,211,362,58.3,3155,8.7,9.5,30,7,155.0,NA
Josh Blankenship,QB,Tulsa,,6-2,211,5.16,28.5,,103,7.59,4.42,",,,",2003,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Boller,QB,California,College Stats,6-3,234,4.61,35.5,,117,7.20,4.02,"Baltimore Ravens,1st,19th pick,2003",2003,Baltimore Ravens,19,2003,https://www.sports-reference.com/cfb/players/kyle-boller-1.html,/players/B/BollKy00.htm,California,NA,43,622,1301,47.8,7980,6.1,5.5,64,48,108.2,16
D. Bryant,QB,Duke,,6-2,218,4.73,35.5,,114,7.36,4.40,",,,",2003,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ken Dorsey,QB,Miami (FL),College Stats,6-5,208,4.70,,,,,,"San Francisco 49ers,7th,241st pick,2003",2003,San Francisco 49ers,241,2003,https://www.sports-reference.com/cfb/players/ken-dorsey-1.html,/players/D/DorsKe00.htm,Miami (FL),NA,41,668,1153,57.9,9565,8.3,8.7,86,28,147.4,2
Jason Gesser,QB,Washington State,College Stats,6-1,205,4.87,,,,,,",,,",2003,,,,https://www.sports-reference.com/cfb/players/jason-gesser-1.html,NA,Washington State,NA,40,611,1118,54.7,8830,7.9,7.6,70,39,134.7,NA
Rex Grossman,QB,Florida,College Stats,6-1,217,5.06,,,,,,"Chicago Bears,1st,22nd pick,2003",2003,Chicago Bears,22,2003,https://www.sports-reference.com/cfb/players/rex-grossman-1.html,/players/G/GrosRe00.htm,Florida,NA,35,677,1110,61.0,9164,8.3,8.2,77,36,146.7,23
Kliff Kingsbury,QB,Texas Tech,College Stats,6-3,213,4.77,30.0,,101,6.92,4.10,"New England Patriots,6th,201st pick,2003",2003,New England Patriots,201,2003,https://www.sports-reference.com/cfb/players/kliff-kingsbury-1.html,/players/K/KingKl00.htm,Texas Tech,NA,43,1231,1883,65.4,12429,6.6,6.7,95,40,133.2,0
Byron Leftwich,QB,Marshall,College Stats,6-5,241,4.85,,,,,,"Jacksonville Jaguars,1st,7th pick,2003",2003,Jacksonville Jaguars,7,2003,https://www.sports-reference.com/cfb/players/byron-leftwich-1.html,/players/L/LeftBy00.htm,Marshall,NA,61,939,1442,65.1,11903,8.3,8.6,89,28,150.9,33
Carson Palmer,QB,USC,College Stats,6-5,232,4.65,,,,,,"Cincinnati Bengals,1st,1st pick,2003",2003,Cincinnati Bengals,1,2003,https://www.sports-reference.com/cfb/players/carson-palmer-1.html,/players/P/PalmCa00.htm,USC,NA,53,927,1569,59.1,11818,7.5,7.0,72,49,131.2,107
Brian Saint Pierre,QB,Boston Col.,,6-3,218,4.82,30.0,,106,,,",,,",2003,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dave Ragone,QB,Louisville,College Stats,6-4,249,4.99,30.5,,101,7.42,4.36,"Houston Texans,3rd,88th pick,2003",2003,Houston Texans,88,2003,https://www.sports-reference.com/cfb/players/dave-ragone-1.html,/players/R/RagoDa00.htm,Louisville,NA,41,685,1180,58.1,8564,7.3,7.4,74,29,134.8,1
Tony Romo,QB,East. Illinois,,6-2,230,5.01,30.0,,105,7.11,4.20,",,,",2003,,,,NA,/players/R/RomoTo00.htm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95
Chris Simms,QB,Texas,College Stats,6-4,220,4.84,31.0,,103,7.38,4.21,"Tampa Bay Buccaneers,3rd,97th pick,2003",2003,Tampa Bay Buccaneers,97,2003,https://www.sports-reference.com/cfb/players/chris-simms-1.html,/players/S/SimmCh00.htm,Texas,NA,41,535,911,58.7,7097,7.8,7.5,58,31,138.4,8
Seneca Wallace,QB,Iowa State,College Stats,5-11,196,4.56,38.0,,127,6.98,4.14,"Seattle Seahawks,4th,110th pick,2003",2003,Seattle Seahawks,110,2003,https://www.sports-reference.com/cfb/players/seneca-wallace-1.html,/players/W/WallSe00.htm,Iowa State,NA,25,411,712,57.7,5289,7.4,6.5,26,27,124.6,15
Juston Wood,QB,Portland State,,6-1,207,4.78,32.5,,113,7.14,4.16,",,,",2003,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casey Clausen,QB,Tennessee,College Stats,6-3,223,4.95,,,,,,",,,",2004,,,,https://www.sports-reference.com/cfb/players/casey-clausen-1.html,NA,Tennessee,NA,45,775,1270,61.0,9707,7.6,7.7,75,31,139.8,NA
Jason Fife,QB,Oregon,College Stats,6-4,226,4.83,30.5,,113,7.28,4.18,",,,",2004,,,,https://www.sports-reference.com/cfb/players/jason-fife-1.html,NA,Oregon,NA,29,260,496,52.4,3702,7.5,7.4,30,14,129.4,NA
Josh Harris,QB,Bowling Green,College Stats,6-1,238,4.78,31.0,,115,,,"Baltimore Ravens,6th,187th pick,2004",2004,Baltimore Ravens,187,2004,https://www.sports-reference.com/cfb/players/josh-harris-2.html,/players/H/HarrJo02.htm,Bowling Green State,NA,42,627,1028,61.0,7503,7.3,7.1,55,28,134.5,7
Robert Kent,QB,Jackson State,,6-4,222,4.87,26.5,,110,7.69,4.22,",,,",2004,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Craig Krenzel,QB,Ohio State,College Stats,6-3,228,4.84,28.0,,112,7.22,4.08,"Chicago Bears,5th,148th pick,2004",2004,Chicago Bears,148,2004,https://www.sports-reference.com/cfb/players/craig-krenzel-1.html,/players/K/KrenCr00.htm,Ohio State,NA,33,328,577,56.8,4489,7.8,7.1,28,21,130.9,1
Jared Lorenzen,QB,Kentucky,College Stats,6-3,288,5.28,,,,,,",,,",2004,,,,https://www.sports-reference.com/cfb/players/jared-lorenzen-1.html,/players/L/LoreJa00.htm,Kentucky,NA,43,862,1514,56.9,10354,6.8,6.7,78,41,126.0,0
J.P. Losman,QB,Tulane,College Stats,6-2,224,4.73,33.0,,116,,,"Buffalo Bills,1st,22nd pick,2004",2004,Buffalo Bills,22,2004,https://www.sports-reference.com/cfb/players/jp-losman-1.html,/players/L/LosmJ.00.htm,Tulane,NA,38,570,987,57.8,6754,6.8,6.8,60,27,129.8,19
Eli Manning,QB,Mississippi,College Stats,6-5,221,4.90,,,,,,"San Diego Chargers,1st,1st pick,2004",2004,San Diego Chargers,1,2004,https://www.sports-reference.com/cfb/players/eli-manning-1.html,/players/M/MannEl00.htm,Ole Miss,NA,43,829,1363,60.8,10119,7.4,7.5,81,35,137.7,121
Matt Mauck,QB,LSU,College Stats,6-2,228,4.79,,,,,,"Denver Broncos,7th,225th pick,2004",2004,Denver Broncos,225,2004,https://www.sports-reference.com/cfb/players/matt-mauck-1.html,/players/M/MaucMa00.htm,LSU,NA,23,310,529,58.6,3831,7.2,7.1,37,18,135.7,1
Luke McCown,QB,Louisiana Tech,College Stats,6-4,208,4.71,37.5,,125,6.74,4.21,"Cleveland Browns,4th,106th pick,2004",2004,Cleveland Browns,106,2004,https://www.sports-reference.com/cfb/players/luke-mccown-1.html,/players/M/McCoLu00.htm,Louisiana Tech,NA,43,1063,1775,59.9,12666,7.1,6.5,87,62,129.0,8
John Navarre,QB,Michigan,College Stats,6-6,246,5.19,26.5,,100,7.73,4.46,"Arizona Cardinals,7th,202nd pick,2004",2004,Arizona Cardinals,202,2004,https://www.sports-reference.com/cfb/players/john-navarre-1.html,/players/N/NavaJo00.htm,Michigan,NA,46,744,1327,56.1,9014,6.8,6.8,70,30,126.0,0
